ID,Initial obtuse triangles,Local Search obtuse triangles,Local Search Convergence Rate,Local Search Steiner points,Simulated Annealing obtuse triangles,Simulated Annealing Convergence Rate,Simulated Annealing Steiner points,Ant Colony obtuse triangles,Ant Colony Convergence Rate,Ant Colony Steiner points
point-set_10_7451a2a9,5,3,0.51678,2,1,0.177733,11,5,0,0
point-set_10_97578aae,6,3,0.628636,3,2,0.347019,26,6,0,0
point-set_10_ae0fff93,6,4,0.40844,2,2,0.0960857,6,6,0,0
point-set_10_c04b0024,9,4,0.648839,5,0,1.31003,14,6,0.0637217,8
point-set_10_d009159f,8,4,0.581225,4,4,0.23135,22,7,0.0253475,0
point-set_10_f999dc7f,10,4,0.709573,6,3,0.116784,25,10,0,0
point-set_20_0c4009d9,26,20,0.191476,6,5,0.490883,55,25,0.00430237,1
point-set_20_34a047f7,23,14,0.356322,8,10,0.0577194,39,22,0.00219263,1
point-set_20_41c48315,20,11,0.414028,9,6,0.404019,69,18,0.0105808,1
point-set_20_54ab0b47,18,7,0.64735,8,4,0.0981126,36,16,0.314364,2
point-set_20_5868538a,15,10,0.313667,5,2,0.509071,39,13,0.0421943,11
point-set_20_72cd2066,21,14,0.287227,6,3,1.07917,62,19,0.00493672,1
point-set_20_fa3fd7e0,15,8,0.477502,5,4,0.347836,28,11,0.0281576,3
point-set_40_1b92b629,40,24,0.318712,15,18,0.164577,87,39,0.00328481,1
point-set_40_8cbf31aa,30,17,0.369046,13,13,0.150577,62,24,0.0421594,6
point-set_40_9451c229,34,15,0.513268,17,12,0.101207,62,27,0.0459669,5
point-set_40_ae33a7ea,38,26,0.239674,11,12,0.292114,90,37,0.280763,1
point-set_40_f511c8ce,44,30,0.235805,12,27,0.0516699,70,39,0.3266,5
point-set_60_27bc003d,65,51,0.153045,11,48,0.059127,81,64,0.0379027,1
point-set_60_2ff8f975,72,44,0.288346,24,46,0.078789,94,62,0.0718077,6
point-set_60_74409a1d,59,30,0.403265,23,30,0.0582017,74,48,0.0564975,0
point-set_60_9fc02edd,80,45,0.314994,24,49,0.0681745,67,76,0.465588,3
point-set_60_ac318d72,64,30,0.424882,29,33,0.0674044,77,53,0.0366917,13
point-set_80_1675b331,54,28,0.381957,18,13,0.409433,101,53,0.511024,1
point-set_80_837b0f11,105,56,0.357541,35,65,0.103604,79,77,0.125839,0
point-set_80_8383fead,86,47,0.341902,31,45,0.129922,123,65,0.106689,13
point-set_80_9a8373fb,35,10,0.822532,22,6,0.23952,44,32,0.0279801,1
point-set_80_d77fb670,68,23,0.651698,32,27,0.218166,93,51,0.612479,5
point-set_80_ff15444b,86,48,0.327602,29,55,0.109473,81,74,0.176703,4
point-set_100_0245ce31,32,11,0.723045,18,10,0.229938,55,31,0.00539105,0
point-set_100_05594822,111,66,0.27918,37,58,0.2002,129,89,0.102187,0
point-set_100_dd67678e,89,54,0.27796,30,61,0.0873818,70,76,0.0452128,4
point-set_150_1fb326cf,164,116,0.190666,44,131,0.0299614,94,158,0.127926,1
point-set_150_20bcb550,118,65,0.326651,42,73,0.0956167,115,108,0.181064,6
point-set_150_982c9ab3,198,139,0.17278,44,170,0.0215614,98,187,0.244747,8
point-set_150_b26a2c80,153,70,0.451709,64,102,0.118145,84,122,0.1045,11
point-set_250_3c338713,257,153,0.260946,65,197,0.0733054,71,222,0.12143,3
point-set_250_93dd622a,121,79,0.238344,35,85,0.143298,87,110,0.0647135,3
