ID,Initial obtuse triangles,Local Search obtuse triangles,Local Search Convergence Rate,Local Search Steiner points,Simulated Annealing obtuse triangles,Simulated Annealing Convergence Rate,Simulated Annealing Steiner points,Ant Colony obtuse triangles,Ant Colony Convergence Rate,Ant Colony Steiner points
simple-polygon-exterior_10_310dc6c7,5,1,1.43384,4,0,0.803913,11,5,0,0
simple-polygon-exterior_10_40642b31,7,6,0.190091,1,2,0.206574,28,7,0,0
simple-polygon-exterior_10_74050e4d,7,3,0.718365,4,1,0.334303,13,7,0,0
simple-polygon-exterior_10_8b098f5e,9,7,0.251551,2,3,0.469475,34,9,0,0
simple-polygon-exterior_10_a5f0f2fc,7,4,0.503486,3,3,0.115747,21,5,0.0374713,2
simple-polygon-exterior_10_c5616894,12,11,0.107298,1,4,0.133749,24,12,0,0
simple-polygon-exterior_20_2a7302a0,16,10,0.351806,5,2,0.404022,31,16,0,0
simple-polygon-exterior_20_7520a1da,16,8,0.487484,7,3,0.256623,33,16,0,0
simple-polygon-exterior_20_87cff693,20,10,0.497307,9,9,0.166408,40,17,0.0168592,3
simple-polygon-exterior_20_92dcd467,15,12,0.196617,3,5,0.192143,40,15,0,0
simple-polygon-exterior_20_c820ed5d,21,16,0.207952,5,9,0.327158,58,20,0.0053521,1
simple-polygon-exterior_20_ff791267,25,22,0.134379,2,14,0.169272,49,24,0.00365881,0
simple-polygon-exterior_40_11434792,45,26,0.332874,14,19,0.185258,82,35,0.04313,11
simple-polygon-exterior_40_7685a35e,37,27,0.214454,9,17,0.128602,70,36,0.619321,1
simple-polygon-exterior_40_785575e7,33,16,0.489565,14,11,0.281772,90,26,0.0281682,6
simple-polygon-exterior_40_ca26cbd4,45,35,0.168386,8,19,0.314241,78,40,0.0139961,3
simple-polygon-exterior_60_1a49dffa,58,39,0.23094,15,40,0.0337703,74,55,0.179603,2
simple-polygon-exterior_60_494df14f,69,40,0.319813,23,43,0.132081,82,66,0.44273,2
simple-polygon-exterior_60_881cf585,75,60,0.137134,11,56,0.110313,89,65,0.0507816,2
simple-polygon-exterior_60_ba2c82c0,47,26,0.376241,18,14,0.286588,89,39,0.0150311,4
simple-polygon-exterior_80_22d34c7e,89,54,0.29328,28,45,0.235214,106,81,0.0242916,4
simple-polygon-exterior_80_d87f15e8,87,51,0.304747,31,60,0.0551806,72,73,0.123082,6
simple-polygon-exterior_100_37aaf06f,121,75,0.263163,33,79,0.139472,102,102,0.0581506,0
simple-polygon-exterior_100_686dd044,111,80,0.198932,21,78,0.0475068,85,94,0.0747418,0
simple-polygon-exterior_100_f1740925,101,75,0.181499,20,69,0.0589265,87,92,0.0838223,3
simple-polygon-exterior_150_1301b82e,164,103,0.269967,50,125,0.103212,119,146,0.131931,10
simple-polygon-exterior_150_89d077ac,141,86,0.277978,38,105,0.111404,79,121,0.0472915,6
simple-polygon-exterior_150_fb998503,176,109,0.272966,51,137,0.0987457,126,152,0.103851,8
simple-polygon-exterior_250_3f7ba0d3,280,218,0.137392,49,240,0.0425534,93,241,0.0611926,5
simple-polygon-exterior_250_a97729dd,259,201,0.138892,39,214,0.0597857,113,253,0.0340492,2
simple-polygon-exterior_250_c0a19392,302,215,0.189962,58,250,0.060273,102,277,0.0767507,10
simple-polygon-exterior-20_10_15783346,7,6,0.190091,1,1,0.365638,19,7,0,0
simple-polygon-exterior-20_10_46c44a43,8,5,0.420556,3,1,0.854985,23,8,0,0
simple-polygon-exterior-20_10_6fbd9669,6,2,0.947689,4,1,0.224829,20,2,0.507886,4
simple-polygon-exterior-20_10_868921c7,7,2,1.03702,5,0,0.771332,11,7,0,0
simple-polygon-exterior-20_10_8c4306da,8,4,0.581225,4,0,1.09047,21,6,0.14567,3
simple-polygon-exterior-20_10_c6728228,8,3,0.896802,4,0,1.01913,14,6,0.0257845,2
simple-polygon-exterior-20_10_ce9152de,9,6,0.385218,2,3,0.119327,22,9,0,1
simple-polygon-exterior-20_20_0f96fb2c,19,13,0.280036,6,3,0.360235,39,15,0.293702,3
simple-polygon-exterior-20_20_1e719235,25,17,0.268355,7,6,0.415091,61,20,0.0311432,4
simple-polygon-exterior-20_20_4ddfa00e,21,13,0.349238,6,5,0.244235,43,19,0.024278,1
simple-polygon-exterior-20_20_52abeef5,24,15,0.324972,7,11,0.154404,69,24,0,1
simple-polygon-exterior-20_20_c27f41dd,20,10,0.489887,9,6,0.293303,59,18,0.00949694,0
simple-polygon-exterior-20_20_e64ff8fc,22,15,0.302696,6,6,0.370869,48,20,0.0356623,5
simple-polygon-exterior-20_20_eb63a5b6,21,13,0.347396,6,5,0.147124,45,20,0.00240663,1
simple-polygon-exterior-20_40_317d3f6d,30,19,0.308455,9,4,0.560299,71,19,0.0810564,10
simple-polygon-exterior-20_40_5faf6985,34,19,0.418992,11,11,0.168553,85,24,0.0957273,3
simple-polygon-exterior-20_40_65de7236,41,29,0.254085,8,24,0.0526541,63,34,0.0419935,1
simple-polygon-exterior-20_40_84415804,36,24,0.257618,10,16,0.157049,60,32,0.0198425,4
simple-polygon-exterior-20_40_8ad14096,39,33,0.120811,6,13,0.400785,95,36,0.0280235,3
simple-polygon-exterior-20_40_b9ab4f03,47,22,0.462699,21,12,0.325663,84,34,0.102597,0
simple-polygon-exterior-20_60_28a85662,76,50,0.245315,23,50,0.0941871,66,74,0.00131544,1
simple-polygon-exterior-20_60_53ad6d23,45,22,0.434028,16,15,0.23838,93,36,0.0547855,1
simple-polygon-exterior-20_60_57858065,66,41,0.287714,17,35,0.112207,71,58,0.191682,5
simple-polygon-exterior-20_60_57cd1db6,64,43,0.231448,20,39,0.145511,44,58,0.223806,4
simple-polygon-exterior-20_60_6088b7a9,58,39,0.234893,16,38,0.0837508,84,57,0.0693644,2
simple-polygon-exterior-20_60_8221c868,73,50,0.223527,19,46,0.145359,96,71,0.00137026,1
simple-polygon-exterior-20_60_e6f13145,82,57,0.217349,22,63,0.0737602,57,78,0.207985,3
simple-polygon-exterior-20_80_1c5fcde7,87,56,0.262262,27,59,0.0500529,88,75,0.060066,6
simple-polygon-exterior-20_80_889602ae,86,65,0.171753,16,69,0.0410025,66,82,0.00669428,2
simple-polygon-exterior-20_100_512f0fc4,65,37,0.327425,23,31,0.232428,97,53,0.0655406,1
simple-polygon-exterior-20_100_7ed1ca87,113,75,0.222441,30,87,0.0738191,77,109,0.054743,2
simple-polygon-exterior-20_100_8bfbe418,105,61,0.32103,36,67,0.16301,86,100,0.0320172,2
simple-polygon-exterior-20_100_8d1c2e30,64,39,0.277253,20,45,0.143644,83,63,0.410492,1
simple-polygon-exterior-20_100_8ff7a64d,109,77,0.19354,26,78,0.089397,98,93,0.0580553,6
simple-polygon-exterior-20_100_c256488f,113,71,0.268714,35,72,0.0937198,106,90,0.0828283,4
simple-polygon-exterior-20_150_41e0c5f0,165,93,0.314034,56,94,0.203707,146,140,0.0662122,7
